ds,y
12/10/2013,479.66
12/11/2013,472.69
12/12/2013,477.44
12/13/2013,475.58
12/14/2013,404.78
12/15/2013,367.84
12/16/2013,472.4
12/17/2013,484.69
12/18/2013,475.22
12/19/2013,478.54
12/20/2013,474.33
12/21/2013,406.34
12/22/2013,368.18
12/23/2013,456.14
12/24/2013,463.64
12/25/2013,405.64
12/26/2013,458.8
12/27/2013,459.54
12/28/2013,401.82
12/29/2013,364.27
12/30/2013,462.11
12/31/2013,460.04
1/1/2014,390.52
1/2/2014,454.67
1/3/2014,396.7
1/4/2014,419.16
1/5/2014,373.36
1/6/2014,459.59
1/7/2014,457.44
1/8/2014,478.74
1/9/2014,476.67
1/10/2014,474.87
1/11/2014,397.12
1/12/2014,371.16
1/13/2014,468.21
1/14/2014,482.48
1/15/2014,477.02
1/16/2014,472.57
1/17/2014,470.39
1/18/2014,400
1/19/2014,365.39
1/20/2014,371.93
1/21/2014,458.71
1/22/2014,443.97
1/23/2014,480.27
1/24/2014,496.06
1/25/2014,428.98
1/26/2014,386.5
1/27/2014,470.16
1/28/2014,492.04
1/29/2014,482.93
1/30/2014,480.66
1/31/2014,472.4
2/1/2014,404.38
2/2/2014,364.89
2/3/2014,462.24
2/4/2014,475.72
2/5/2014,459.32
2/6/2014,464.55
2/7/2014,466.01
2/8/2014,392.29
2/9/2014,361.43
2/10/2014,462.12
2/11/2014,478.85
2/12/2014,463.9
2/13/2014,447.81
2/14/2014,446.3
2/15/2014,379.81
2/16/2014,353.51
2/17/2014,379.95
2/18/2014,451.07
2/19/2014,451.24
2/20/2014,454.83
2/21/2014,446.15
2/22/2014,384.96
2/23/2014,354.61
2/24/2014,446.54
2/25/2014,459.49
2/26/2014,447.8
2/27/2014,460.86
2/28/2014,461.86
3/1/2014,406.28
3/2/2014,362.92
3/3/2014,456.32
3/4/2014,472.61
3/5/2014,440.98
3/6/2014,462.09
3/7/2014,456.82
3/8/2014,379.6
3/9/2014,356.85
3/10/2014,437.59
3/11/2014,436.29
3/12/2014,425.3
3/13/2014,446.09
3/14/2014,445.16
3/15/2014,365.4
3/16/2014,347.81
3/17/2014,434.12
3/18/2014,443.44
3/19/2014,431.86
3/20/2014,428.31
3/21/2014,426.08
3/22/2014,351.5
3/23/2014,340.96
3/24/2014,428.97
3/25/2014,441.8
3/26/2014,430.57
3/27/2014,435.43
3/28/2014,400.45
3/29/2014,352.56
3/30/2014,326.05
3/31/2014,425.63
4/1/2014,409.7
4/2/2014,419.95
4/3/2014,397.73
4/4/2014,423.38
4/5/2014,350.08
4/6/2014,324.12
4/7/2014,415.77
4/8/2014,400.77
4/9/2014,412.91
4/10/2014,394.87
4/11/2014,403
4/12/2014,365.31
4/13/2014,337.38
4/14/2014,418.89
4/15/2014,424.9
4/16/2014,417.87
4/17/2014,431.42
4/18/2014,412.16
4/19/2014,352.4
4/20/2014,324.12
4/21/2014,407.72
4/22/2014,418.64
4/23/2014,405.9
4/24/2014,415.21
4/25/2014,410.81
4/26/2014,342.13
4/27/2014,322.5
4/28/2014,410.78
4/29/2014,423.7
4/30/2014,421.84
5/1/2014,414.15
5/2/2014,418.79
5/3/2014,364.4
5/4/2014,341.95
5/5/2014,402.76
5/6/2014,410.25
5/7/2014,438.92
5/8/2014,460.86
5/9/2014,464.4
5/10/2014,395.3
5/11/2014,349.53
5/12/2014,516.15
5/13/2014,463.14
5/14/2014,471.42
5/15/2014,496.8
5/16/2014,465.16
5/17/2014,363.96
5/18/2014,342.07
5/19/2014,433.87
5/20/2014,441.07
5/21/2014,453.77
5/22/2014,549.05
5/23/2014,601.05
5/24/2014,381.63
5/25/2014,363.86
5/26/2014,367.33
5/27/2014,505.94
5/28/2014,491.96
5/29/2014,497.37
5/30/2014,475.91
5/31/2014,379.44
6/1/2014,352.12
6/2/2014,494.08
6/3/2014,703.16
6/4/2014,687.72
6/5/2014,639.02
6/6/2014,604.77
6/7/2014,349.59
6/8/2014,340.29
6/9/2014,676.73
6/10/2014,714.98
6/11/2014,646.08
6/12/2014,641.26
6/13/2014,682.02
6/14/2014,378.15
6/15/2014,354.32
6/16/2014,547.05
6/17/2014,583.71
6/18/2014,612.97
6/19/2014,589.17
6/20/2014,563.23
6/21/2014,399.1
6/22/2014,428
6/23/2014,565.52
6/24/2014,821.55
6/25/2014,752.89
6/26/2014,917.29
6/27/2014,778.46
6/28/2014,527.59
6/29/2014,433.98
6/30/2014,576.49
7/1/2014,651.04
7/2/2014,951.96
7/3/2014,915.06
